FrameId	Locus	GeneSymbol	ProductName	GenbankAccession.version	Entrez	UniprotAccession	UniprotName
G18UU-22471-MONOMER	PP_4950	PP_4950	conserved protein of unknown function	AAN70517.1	24986721	Q88D77	Q88D77_PSEPK
G18UU-22470-MONOMER	PP_4949	PP_4949	putative peptidase, TldD/PmbA family	AAN70516.2	1001556046	Q88D78	Q88D78_PSEPK
G18UU-22469-MONOMER	PP_4948	PP_4948	Acyl-CoA dehydrogenase family protein	AAN70515.1	24986719	Q88D79	Q88D79_PSEPK
G18UU-22468-MONOMER	PP_5718	PP_5718	conserved membrane protein of unknown function	AMM03055.1	1001556045	A0A140FWS2	A0A140FWS2_PSEPK
G18UU-22467-MONOMER	PP_4947	putA	proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	AAN70514.1	24986718	Q88D80	Q88D80_PSEPK
G18UU-22465-MONOMER	PP_4945	rlmJ	23S rRNA m(6)A2030 methyltransferase	AAN70512.1	24986716	Q88D82	Q88D82_PSEPK
G18UU-22464-MONOMER	PP_4944	PP_4944	Carbamoyltransferase	AAN70511.1	24986714	Q88D83	Q88D83_PSEPK
G18UU-22463-MONOMER	PP_4943	PP_4943	putative Glycosyl transferase	AAN70510.1	24986713	Q88D84	Q88D84_PSEPK
G18UU-22462-MONOMER	PP_4942	PP_4942	conserved protein of unknown function	AAN70509.1	24986712	Q88D85	Q88D85_PSEPK
G18UU-22461-MONOMER	PP_4941	PP_4941	conserved exported protein of unknown function	AAN70508.1	24986711	Q88D86	Q88D86_PSEPK
G18UU-22460-MONOMER	PP_4940	PP_4940	Putative glycosyltransferase	AAN70507.1	24986710	Q88D87	Q88D87_PSEPK
G18UU-22459-MONOMER	PP_4939	PP_4939	conserved protein of unknown function	AAN70506.1	24986709	Q88D88	Q88D88_PSEPK
G18UU-22458-MONOMER	PP_4938	PP_4938	putative Glycosyl transferase	AAN70505.1	24986708	Q88D89	Q88D89_PSEPK
G18UU-22457-MONOMER	PP_4937	PP_4937	toluene tolerance protein	AAN70504.2	1001556043	Q88D90	Q88D90_PSEPK
G18UU-22456-MONOMER	PP_4936	wzy	O-antigen polymerase	AAN70503.1	24986706	Q88D91	Q88D91_PSEPK
G18UU-22454-MONOMER	PP_4934	hldE	heptose 7-phosphate kinase/heptose 1-phosphate adenylyltransferase	AAN70501.1	24986703	Q88D93	HLDE_PSEPK
G18UU-22453-MONOMER	PP_4933	PP_4933	conserved protein of unknown function	AAN70500.1	24986702	Q88D94	Q88D94_PSEPK
G18UU-22452-MONOMER	PP_4932	PP_4932	putative D-arabinose 1-dehydrogenase	AAN70499.1	24986701	Q88D95	Q88D95_PSEPK
G18UU-22451-MONOMER	PP_4931	PP_4931	conserved protein of unknown function	AAN70498.1	24986700	Q88D96	Q88D96_PSEPK
G18UU-22450-MONOMER	PP_4930	emrE	putative small multidrug resistance protein	AAN70497.1	24986699	Q88D97	Q88D97_PSEPK
G18UU-22449-MONOMER	PP_4929	PP_4929	Transcriptional regulator, LysR family	AAN70496.1	24986698	Q88D98	Q88D98_PSEPK
G18UU-22448-MONOMER	PP_4928	waaA	3-deoxy-D-manno-octulosonic acid transferase	AAN70495.1	24986697	Q88D99	Q88D99_PSEPK
G18UU-22447-MONOMER	PP_4927	cyaB	Cyclolysin secretion/processing ATP-binding protein CyaB	AAN70494.1	24986696	Q88DA0	Q88DA0_PSEPK
G18UU-22446-MONOMER	PP_4926	PP_4926	HlyD family secretion protein	AAN70493.1	24986695	Q88DA1	Q88DA1_PSEPK
G18UU-22445-MONOMER	PP_4925	PP_4925	conserved protein of unknown function	AAN70492.1	24986693	Q88DA2	Q88DA2_PSEPK
G18UU-22444-MONOMER	PP_4924	PP_4924	Serine protease, subtilase family	AAN70491.1	24986692	Q88DA3	Q88DA3_PSEPK
G18UU-22443-MONOMER	PP_4923	PP_4923	Outer membrane efflux protein	AAN70490.1	24986691	Q88DA4	Q88DA4_PSEPK
G18UU-22441-MONOMER	PP_4922	thiC	Phosphomethylpyrimidine synthase	AAN70489.1	24986690	Q88DA5	THIC_PSEPK
G18UU-22439-MONOMER	PP_4920	PP_4920	putative Lipoprotein	AAN70487.1	24986688	Q88DA7	Q88DA7_PSEPK
G18UU-22438-MONOMER	PP_4919	nudF	ADP-ribose/sugar pyrophosphatase	AAN70486.1	24986687	Q88DA8	Q88DA8_PSEPK
G18UU-22437-MONOMER	PP_4918	PP_4918	conserved protein of unknown function	AAN70485.1	24986686	Q88DA9	Q88DA9_PSEPK
G18UU-22436-MONOMER	PP_4917	pde	3',5'-cyclic-nucleotide phosphodiesterase	AAN70484.1	24986684	Q88DB0	Q88DB0_PSEPK
G18UU-22435-MONOMER	PP_4916	PP_4916	putative esterase	AAN70483.2	1001556042	Q88DB1	Q88DB1_PSEPK
G18UU-22434-MONOMER	PP_4915	parE	DNA topoisomerase IV subunit B	AAN70482.1	24986682	Q88DB2	Q88DB2_PSEPK
G18UU-22433-MONOMER	PP_4914	PP_4914	putative phytase-like protein	AAN70481.1	24986681	Q88DB3	Q88DB3_PSEPK
G18UU-22432-MONOMER	PP_4913	PP_4913	conserved protein of unknown function	AAN70480.1	24986680	Q88DB4	Q88DB4_PSEPK
G18UU-22431-MONOMER	PP_4912	parC	DNA topoisomerase IV subunit A	AAN70479.1	24986679	Q88DB5	Q88DB5_PSEPK
G18UU-22430-MONOMER	PP_4911	PP_4911	conserved protein of unknown function	AAN70478.1	24986678	Q88DB6	Q88DB6_PSEPK
G18UU-22429-MONOMER	PP_4910	PP_4910	conserved protein of unknown function	AAN70477.1	24986677	Q88DB7	Q88DB7_PSEPK
G18UU-22428-MONOMER	PP_4909	serB	phosphoserine phosphatase	AAN70476.1	24986676	Q88DB8	Q88DB8_PSEPK
G18UU-22427-MONOMER	PP_4908	psd	phosphatidylserine decarboxylase	AAN70475.1	24986675	Q88DB9	PSD_PSEPK
G18UU-22426-MONOMER	PP_4907	rhdA	Thiosulfate sulfurtransferase	AAN70474.1	24986674	Q88DC0	Q88DC0_PSEPK
G18UU-22425-MONOMER	PP_4906	PP_4906	conserved protein of unknown function	AAN70473.1	24986673	Q88DC1	Q88DC1_PSEPK
G18UU-22424-MONOMER	PP_4905	motA	Flagellar motor rotation protein	AAN70472.1	24986671	Q88DC2	Q88DC2_PSEPK
G18UU-22423-MONOMER	PP_4904	motB	Flagellar motor rotation protein	AAN70471.1	24986670	Q88DC3	Q88DC3_PSEPK
G18UU-22422-MONOMER	PP_4903	rsgA	Putative ribosome biogenesis GTPase RsgA	AAN70470.1	24986669	Q88DC4	RSGA_PSEPK
G18UU-22421-MONOMER	PP_4902	orn	Oligoribonuclease	AAN70469.1	24986668	Q88DC5	ORN_PSEPK
G18UU-22420-MONOMER	PP_4901	yicG	conserved inner membrane protein	AAN70468.1	24986667	Q88DC6	Q88DC6_PSEPK
G18UU-22419-MONOMER	PP_4900	queG	epoxyqueuosine reductase	AAN70467.1	24986666	Q88DC7	Q88DC7_PSEPK
G18UU-22418-MONOMER	PP_4899	nnrD	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	AAN70466.1	24986665	Q88DC8	Q88DC8_PSEPK
G18UU-22417-MONOMER	PP_4898	tsaE	ATPase	AAN70465.1	24986664	Q88DC9	Q88DC9_PSEPK
G18UU-22416-MONOMER	PP_4897	amiC	N-acetylmuramoyl-L-alanine amidase	AAN70464.1	24986663	Q88DD0	Q88DD0_PSEPK
G18UU-22415-MONOMER	PP_4896	mutL	DNA mismatch repair protein MutL	AAN70463.1	24986662	Q88DD1	MUTL_PSEPK
G18UU-22414-MONOMER	PP_4895	miaA	tRNA dimethylallyltransferase	AAN70462.1	24986661	Q88DD2	MIAA_PSEPK
G18UU-22413-MONOMER	PP_4894	hfq	RNA-binding protein Hfq	AAN70461.1	24986659	Q88DD3	HFQ_PSEPK
G18UU-22412-MONOMER	PP_4893	hflX	GTPase HflX	AAN70460.1	24986658	Q88DD4	Q88DD4_PSEPK
G18UU-22411-MONOMER	PP_4892	hflK	integral membrane ATP-dependent zinc metallopeptidase / HflK-HflC complex	AAN70459.1	24986657	Q88DD5	Q88DD5_PSEPK
G18UU-22410-MONOMER	PP_4891	hflC	integral membrane ATP-dependent zinc metallopeptidase / HflK-HflC complex	AAN70458.1	24986656	Q88DD6	Q88DD6_PSEPK
G18UU-22409-MONOMER	PP_4890	hisZ	ATP phosphoribosyltransferase regulatory subunit	AAN70457.1	24986655	Q88DD7	HISZ_PSEPK
G18UU-22408-MONOMER	PP_4889	purA	Adenylosuccinate synthetase	AAN70456.1	24986654	Q88DD8	PURA_PSEPK
G18UU-22407-MONOMER	PP_4888	PP_4888	putative methyl-accepting chemotaxis transducer	AAN70455.2	1001556041	Q88DD9	Q88DD9_PSEPK
G18UU-22406-MONOMER	PP_4887	PP_4887	conserved protein of unknown function	AAN70454.1	24986652	Q88DE0	Q88DE0_PSEPK
G18UU-22405-MONOMER	PP_4886	PP_4886	conserved protein of unknown function	AAN70453.1	24986650	Q88DE1	Q88DE1_PSEPK
G18UU-22404-MONOMER	PP_4885	PP_4885	conserved protein of unknown function	AAN70452.1	24986649	Q88DE2	Q88DE2_PSEPK
G18UU-22403-MONOMER	PP_5717	PP_5717	conserved protein of unknown function	AMM03054.1	1001556040	A0A140FWS1	A0A140FWS1_PSEPK
G18UU-22398-MONOMER	PP_4880	rnr	exoribonuclease R	AAN70448.1	24986645	Q88DE6	Q88DE6_PSEPK
G18UU-22397-MONOMER	PP_4879	rlmB	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	AAN70447.1	24986644	Q88DE7	RLMB_PSEPK
G18UU-22396-MONOMER	PP_4877	rpsF	30S ribosomal protein S6	AAN70446.1	24986642	Q88DE8	RS6_PSEPK
G18UU-22395-MONOMER	PP_4876	rpsR	30S ribosomal protein S18	AAN70445.1	24986641	Q88DE9	RS18_PSEPK
G18UU-22394-MONOMER	PP_4875	PP_4875	conserved membrane protein of unknown function	AAN70444.1	24986640	Q88DF0	Q88DF0_PSEPK
G18UU-22393-MONOMER	PP_4874	rplI	50S ribosomal protein L9	AAN70443.1	24986639	Q88DF1	RL9_PSEPK
G18UU-22392-MONOMER	PP_4873	dnaB	replicative DNA helicase (ATPase)	AAN70442.1	24986638	Q88DF2	Q88DF2_PSEPK
G18UU-22391-MONOMER	PP_4872	ygiQ	putative enzyme of unknown function	AAN70441.1	24986637	Q88DF3	Y4872_PSEPK
G18UU-22390-MONOMER	PP_4871	PP_4871	putative lysine decarboxylase family protein	AAN70440.1	24986636	Q88DF4	Q88DF4_PSEPK
G18UU-22389-MONOMER	PP_4870	PP_4870	Azurin	AAN70439.1	24986635	Q88DF5	Q88DF5_PSEPK
G18UU-22388-MONOMER	PP_4869	nadE	NH(3)-dependent NAD(+) synthetase	AAN70438.1	24986634	Q88DF6	NADE_PSEPK
G18UU-22387-MONOMER	PP_4868	pncB	Nicotinate phosphoribosyltransferase	AAN70437.1	24986633	Q88DF7	PNCB_PSEPK
G18UU-22381-MONOMER	PP_4862	ydfG	3-hydroxy acid dehydrogenase, NADP-dependent / malonic semialdehyde reductase	AAN70431.1	24986626	Q88DG3	Q88DG3_PSEPK
G18UU-22380-MONOMER	PP_4861	PP_4861	conserved protein of unknown function	AAN70430.1	24986625	Q88DG4	Q88DG4_PSEPK
G18UU-22379-MONOMER	PP_4860	PP_4860	putative Mannose-6-phosphate isomerase	AAN70429.1	24986624	Q88DG5	Q88DG5_PSEPK
G18UU-22378-MONOMER	PP_4859	PP_4859	Transcriptional regulator, TetR family	AAN70428.1	24986623	Q88DG6	Q88DG6_PSEPK
G18UU-22377-MONOMER	PP_4858	PP_4858	conserved exported protein of unknown function	AAN70427.1	24986622	Q88DG7	Q88DG7_PSEPK
G18UU-22376-MONOMER	PP_4857	yhjG	uncharacterized protein YhjG	AAN70426.1	24986621	Q88DG8	Q88DG8_PSEPK
G18UU-22375-MONOMER	PP_4856	PP_4856	Ferritin, Dps family protein	AAN70425.1	24986620	Q88DG9	Q88DG9_PSEPK
G18UU-22374-MONOMER	PP_4855	PP_4855	Osmotically-inducible lipoprotein OsmE	AAN70424.1	24986619	Q88DH0	Q88DH0_PSEPK
G18UU-22373-MONOMER	PP_4854	lip	Lipase	AAN70423.1	24986618	Q88DH1	Q88DH1_PSEPK
G18UU-22372-MONOMER	PP_4853	PP_4853	putative permease of the drug/metabolite transporter (DMT) superfamily	AAN70422.1	24986617	Q88DH2	Q88DH2_PSEPK
G18UU-22371-MONOMER	PP_4852	PP_4852	Transcriptional regulator, AraC family	AAN70421.1	24986615	Q88DH3	Q88DH3_PSEPK
G18UU-22370-MONOMER	PP_4851	PP_4851	Phosphate starvation-inducible protein, PSIF	AAN70420.1	24986614	Q88DH4	Q88DH4_PSEPK
G18UU-22369-MONOMER	PP_4850	PP_4850	conserved membrane protein of unknown function	AAN70419.1	24986613	Q88DH5	Q88DH5_PSEPK
G18UU-22368-MONOMER	PP_4849	PP_4849	putative DnaK protein	AAN70418.1	24986612	Q88DH6	Q88DH6_PSEPK
G18UU-22367-MONOMER	PP_4848	cbpA	Curved DNA-binding protein	AAN70417.1	24986611	Q88DH7	CBPA_PSEPK
G18UU-22366-MONOMER	PP_4847	cbpM	chaperone modulatory of CbpA co-chaperone protein	AAN70416.1	24986610	Q88DH8	CBPM_PSEPK
G18UU-22365-MONOMER	PP_4846	mnaT	L-amino acid N-acyltransferase	AAN70415.1	24986609	Q88DH9	Q88DH9_PSEPK
G18UU-22359-MONOMER	PP_4840	cycA	D-alanine, beta-alanine, D-serine, glycine permease	AAN70409.1	24986602	Q88DI5	Q88DI5_PSEPK
G18UU-22358-MONOMER	PP_4839	PP_4839	putative iron-regulated membrane protein	AAN70408.1	24986601	Q88DI6	Q88DI6_PSEPK
G18UU-22357-MONOMER	PP_4838	oprC	Outer membrane copper receptor OprC	AAN70407.1	24986600	Q88DI7	Q88DI7_PSEPK
G18UU-22356-MONOMER	PP_4837	PP_4837	conserved protein of unknown function	AAN70406.1	24986599	Q88DI8	Q88DI8_PSEPK
G18UU-22355-MONOMER	PP_4836	PP_4836	conserved exported protein of unknown function	AAN70405.1	24986598	Q88DI9	Q88DI9_PSEPK
G18UU-22354-MONOMER	PP_4835	PP_4835	conserved exported protein of unknown function	AAN70404.1	24986597	Q88DJ0	Q88DJ0_PSEPK
G18UU-22353-MONOMER	PP_4834	PP_4834	SPFH domain/Band 7 family protein	AAN70403.1	24986596	Q88DJ1	Q88DJ1_PSEPK
G18UU-22352-MONOMER	PP_4833	PP_4833	SURF1 domain protein	AAN70402.1	24986595	Q88DJ2	Q88DJ2_PSEPK
G18UU-22351-MONOMER	PP_4832	cobK	Precorrin-6x reductase	AAN70401.1	24986594	Q88DJ3	Q88DJ3_PSEPK
G18UU-22350-MONOMER	PP_4831	cbiD	putative cobalt-precorrin-6A synthase	AAN70400.1	24986593	Q88DJ4	CBID_PSEPK
G18UU-22349-MONOMER	PP_4830	cobL	precorrin-6Y C(5,15)-methyltransferase	AAN70399.1	24986592	Q88DJ5	Q88DJ5_PSEPK
G18UU-22348-MONOMER	PP_4829	cobG	putative precorrin-3B synthase	AAN70398.1	24986590	Q88DJ6	Q88DJ6_PSEPK
G18UU-22347-MONOMER	PP_4828	cobH	Precorrin-8X methylmutase	AAN70397.1	24986589	Q88DJ7	Q88DJ7_PSEPK
G18UU-22346-MONOMER	PP_4827	cobI	Precorrin-2 C(20)-methyltransferase	AAN70396.1	24986588	Q88DJ8	Q88DJ8_PSEPK
G18UU-22345-MONOMER	PP_4826	cobJ	Precorrin-3B C17-methyltransferase	AAN70395.1	24986587	Q88DJ9	Q88DJ9_PSEPK
G18UU-22344-MONOMER	PP_5716	PP_5716	conserved protein of unknown function	AMM03053.1	1001556038	A0A140FWS0	A0A140FWS0_PSEPK
G18UU-22343-MONOMER	PP_5715	PP_5715	protein of unknown function	AMM03052.1	1001556037	A0A140FWR9	A0A140FWR9_PSEPK
G18UU-22342-MONOMER	PP_5714	PP_5714	conserved protein of unknown function	AMM03051.1	1001556036	A0A140FWR8	A0A140FWR8_PSEPK
G18UU-22341-MONOMER	PP_4825	PP_4825	Membrane protein, MarC family	AAN70394.1	24986586	Q88DK0	Q88DK0_PSEPK
G18UU-22340-MONOMER	PP_4824	PP_4824	Sensor histidine kinase/response regulator	AAN70393.1	24986585	Q88DK1	Q88DK1_PSEPK
G18UU-22339-MONOMER	PP_4823	purD	Phosphoribosylamine--glycine ligase	AAN70392.1	24986584	Q88DK2	PUR2_PSEPK
G18UU-22338-MONOMER	PP_4822	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	AAN70391.1	24986582	Q88DK3	PUR9_PSEPK
G18UU-22337-MONOMER	PP_4821	PP_4821	putative Fis-like DNA-binding protein	AAN70390.1	24986581	Q88DK4	Q88DK4_PSEPK
G18UU-22336-MONOMER	PP_4820	dusB	tRNA-dihydrouridine synthase B	AAN70389.1	24986580	Q88DK5	DUSB_PSEPK
G18UU-22335-MONOMER	PP_4819	PP_4819	conserved protein of unknown function	AAN70388.1	24986579	Q88DK6	Q88DK6_PSEPK
G18UU-22334-MONOMER	PP_4818	prmA	ribosomal protein L11 methyltransferase	AAN70387.1	24986578	Q88DK7	PRMA_PSEPK
G18UU-22333-MONOMER	PP_4817	PP_4817	MaoC domain protein	AAN70386.1	24986577	Q88DK8	Q88DK8_PSEPK
G18UU-22332-MONOMER	PP_4816	PP_4816	conserved protein of unknown function	AAN70385.1	24986576	Q88DK9	Q88DK9_PSEPK
G18UU-22331-MONOMER	PP_4815	PP_4815	putative Membrane protein	AAN70384.1	24986575	Q88DL0	Q88DL0_PSEPK
G18UU-22330-MONOMER	PP_4814	PP_4814	ATP-dependent protease La domain protein	AAN70383.1	24986574	Q88DL1	Q88DL1_PSEPK
G18UU-22329-MONOMER	PP_4813	PP_4813	PAP2 family protein/DedA family protein	AAN70382.1	24986573	Q88DL2	Q88DL2_PSEPK
G18UU-22328-MONOMER	PP_4812	PP_4812	putative 3-methyladenine DNA glycosylase	AAN70381.1	24986572	Q88DL3	Q88DL3_PSEPK
G18UU-22327-MONOMER	PP_4811	proA	Gamma-glutamyl phosphate reductase	AAN70380.1	24986570	Q88DL4	PROA_PSEPK
G18UU-22326-MONOMER	PP_4810	nadD	Probable nicotinate-nucleotide adenylyltransferase	AAN70379.1	24986569	Q88DL5	NADD_PSEPK
G18UU-22325-MONOMER	PP_4809	rsfS	Ribosomal silencing factor RsfS	AAN70378.1	24986568	Q88DL6	Q88DL6_PSEPK
G18UU-22324-MONOMER	PP_4808	rlmH	23S rRNA m3psi1915 methyltransferase	AAN70377.1	24986567	Q88DL7	RLMH_PSEPK
G18UU-22323-MONOMER	PP_4807	mrdA-II	transpeptidase (penicillin-binding protein 2)	AAN70376.1	24986566	Q88DL8	Q88DL8_PSEPK
G18UU-22322-MONOMER	PP_4806	mrdB	murein transpeptidase factor	AAN70375.1	24986565	Q88DL9	Q88DL9_PSEPK
G18UU-22321-MONOMER	PP_4805	mltB	membrane-bound lytic murein transglycosylase B	AAN70374.1	24986564	Q88DM0	Q88DM0_PSEPK
G18UU-22320-MONOMER	PP_4804	rlpA	RlpA-like lipoprotein	AAN70373.1	24986563	Q88DM1	Q88DM1_PSEPK
G18UU-22319-MONOMER	PP_4803	dacA	D-alanyl-D-alanine carboxypeptidase	AAN70372.1	24986562	Q88DM2	Q88DM2_PSEPK
G18UU-22318-MONOMER	PP_4802	PP_4802	putative lipoate regulatory protein	AAN70371.1	24986561	Q88DM3	Y4802_PSEPK
G18UU-22317-MONOMER	PP_4801	lipB	Octanoyltransferase	AAN70370.1	24986560	Q88DM4	LIPB_PSEPK
G18UU-22316-MONOMER	PP_4800	lipA	Lipoyl synthase	AAN70369.1	24986559	Q88DM5	LIPA_PSEPK
G18UU-22315-MONOMER	PP_4799	PP_4799	putative Muramoyltetrapeptide carboxypeptidase	AAN70368.1	24986557	Q88DM6	Q88DM6_PSEPK
G18UU-22314-MONOMER	PP_4798	PP_4798	putative Membrane-bound lytic murein transglycosylase	AAN70367.1	24986556	Q88DM7	Q88DM7_PSEPK
G18UU-22313-MONOMER	PP_4797	PP_4797	conserved protein of unknown function	AAN70366.1	24986555	Q88DM8	Q88DM8_PSEPK
G18UU-22312-MONOMER	PP_4796	holA	DNA polymerase III, delta subunit	AAN70365.1	24986554	Q88DM9	Q88DM9_PSEPK
G18UU-22311-MONOMER	PP_4795	PP_4795	putative Lipoprotein	AAN70364.1	24986553	Q88DN0	Q88DN0_PSEPK
G18UU-22310-MONOMER	PP_4794	leuS	Leucine--tRNA ligase	AAN70363.1	24986552	Q88DN1	SYL_PSEPK
G18UU-22309-MONOMER	PP_4793	PP_4793	conserved protein of unknown function	AAN70362.1	24986551	Q88DN2	Q88DN2_PSEPK
G18UU-22308-MONOMER	PP_4792	PP_4792	conserved exported protein of unknown function	AAN70361.1	24986550	Q88DN3	Q88DN3_PSEPK
G18UU-22307-MONOMER	PP_4791	PP_4791	transposase	AAN70360.1	24986549	Q877U3	Q877U3_PSEPK
G18UU-22306-MONOMER	PP_4790	lnt	Apolipoprotein N-acyltransferase	AAN70359.1	24986547	Q88DN4	LNT_PSEPK
G18UU-22304-MONOMER	PP_4788	ybeY	Endoribonuclease YbeY	AAN70357.1	24986545	Q88DN6	YBEY_PSEPK
G18UU-22303-MONOMER	PP_4787	ybeZ	putative protein with nucleoside triphosphate hydrolase domain	AAN70356.1	24986544	Q88DN7	Q88DN7_PSEPK
G18UU-22302-MONOMER	PP_4786	PP_4786	conserved protein of unknown function	AAN70355.1	24986543	Q88DN8	Q88DN8_PSEPK
G18UU-22301-MONOMER	PP_4785	PP_4785	conserved exported protein of unknown function	AAN70354.1	24986542	Q88DN9	Q88DN9_PSEPK
G18UU-22300-MONOMER	PP_4784	hemL	Glutamate-1-semialdehyde 2,1-aminomutase	AAN70353.1	24986541	Q88DP0	GSA_PSEPK
G18UU-22299-MONOMER	PP_4783	thiE	Thiamine-phosphate synthase	AAN70352.1	24986540	Q88DP1	THIE_PSEPK
G18UU-22298-MONOMER	PP_4782	thiD	Phosphomethylpyrimidine kinase	AAN70351.1	24986539	Q88DP2	Q88DP2_PSEPK
G18UU-22297-MONOMER	PP_4781	PP_4781	Sensor histidine kinase	AAN70350.1	24986538	Q88DP3	Q88DP3_PSEPK
G18UU-22296-MONOMER	PP_4780	PP_4780	putative Acyl-CoA dehydrogenase	AAN70349.1	24986536	Q88DP4	Q88DP4_PSEPK
G18UU-22295-MONOMER	PP_4779	amn	AMP nucleosidase	AAN70348.2	1001556035	Q88DP5	Q88DP5_PSEPK
G18UU-22294-MONOMER	PP_4778	rluE	23S rRNA pseudouridine 2457 synthase	AMM03050.1	1001556034	A0A140FWR7	A0A140FWR7_PSEPK
G18UU-22293-MONOMER	PP_4777	PP_4777	conserved protein of unknown function	AAN70347.1	24986534	Q88DP6	Q88DP6_PSEPK
G18UU-22292-MONOMER	PP_4776	PP_4776	AsnC family transcriptional regulator	AAN70346.1	24986533	Q88DP7	Q88DP7_PSEPK
G18UU-22290-MONOMER	PP_4775	PP_4775	conserved protein of unknown function	AAN70345.2	1001556033	Q88DP8	Q88DP8_PSEPK
G18UU-22288-MONOMER	PP_4773	PP_4773	conserved protein of unknown function	AAN70343.1	24986530	Q88DQ0	Q88DQ0_PSEPK
G18UU-22287-MONOMER	PP_4772	hrpB	ATP-dependent helicase HrpB	AAN70342.1	24986529	Q88DQ1	Q88DQ1_PSEPK
G18UU-22286-MONOMER	PP_5713	PP_5713	conserved protein of unknown function	AMM03049.1	1001556032	A0A140FWR6	A0A140FWR6_PSEPK
G18UU-22285-MONOMER	PP_4771	PP_4771	conserved membrane protein of unknown function	AAN70341.1	24986528	Q88DQ2	Q88DQ2_PSEPK
G18UU-22284-MONOMER	PP_4770	PP_4770	conserved protein of unknown function	AAN70340.1	24986526	Q88DQ3	Q88DQ3_PSEPK
G18UU-22283-MONOMER	PP_4769	PP_4769	conserved protein of unknown function	AAN70339.1	24986525	Q88DQ4	Q88DQ4_PSEPK
G18UU-22282-MONOMER	PP_4768	PP_4768	Exonuclease	AAN70338.1	24986524	Q88DQ5	Q88DQ5_PSEPK
G18UU-22280-MONOMER	PP_4766	rhlE-I	ATP-dependent RNA helicase	AAN70336.1	24986522	Q88DQ7	Q88DQ7_PSEPK
G18UU-22279-MONOMER	PP_4765	PP_4765	conserved protein of unknown function	AAN70335.1	24986521	Q88DQ8	Q88DQ8_PSEPK
G18UU-22278-MONOMER	PP_4764	PP_4764	Histone deacetylase family protein	AAN70334.1	24986520	Q88DQ9	Q88DQ9_PSEPK
G18UU-22277-MONOMER	PP_5712	PP_5712	conserved protein of unknown function	AMM03048.1	1001556031	A0A140FWR5	A0A140FWR5_PSEPK
G18UU-22276-MONOMER	PP_4763	PP_4763	GCN5-related N-acetyltransferase	AAN70333.1	24986519	Q88DR0	Q88DR0_PSEPK
G18UU-22275-MONOMER	PP_4762	tesB	Acyl-CoA thioesterase II	AAN70332.1	24986518	Q88DR1	Q88DR1_PSEPK
G18UU-22274-MONOMER	PP_4761	PP_4761	Hydrolase, haloacid dehalogenase-like family	AAN70331.1	24986517	Q88DR2	Q88DR2_PSEPK
G18UU-22273-MONOMER	PP_4760	PP_4760	Alcohol dehydrogenase, zinc-containing	AAN70330.1	24986515	Q88DR3	Q88DR3_PSEPK
G18UU-22272-MONOMER	PP_4759	PP_4759	transcriptional regulator, GntR family	AAN70329.2	1001556030	Q88DR4	Q88DR4_PSEPK
G18UU-22271-MONOMER	PP_4758	PP_4758	Major facilitator family transporter	AAN70328.1	24986513	Q88DR5	Q88DR5_PSEPK
G18UU-22270-MONOMER	PP_4757	gudD	D-glucarate dehydratase / L-idarate epimerase	AAN70327.1	24986512	Q88DR6	Q88DR6_PSEPK
G18UU-22268-MONOMER	PP_4755	PP_4755	Outer membrane ferrichrome-iron receptor	AAN70325.1	24986510	Q88DR8	Q88DR8_PSEPK
G18UU-22267-MONOMER	PP_4754	PP_4754	Transcriptional regulator, TetR family	AAN70324.1	24986509	Q88DR9	Q88DR9_PSEPK
G18UU-22266-MONOMER	PP_4753	stcD	putative N-methylproline demethylase	AAN70323.1	24986507	Q88DS0	Q88DS0_PSEPK
G18UU-22265-MONOMER	PP_4752	PP_4752	putative Xaa-Pro aminopeptidase	AAN70322.1	24986506	Q88DS1	Q88DS1_PSEPK
G18UU-22260-MONOMER	PP_4746	PP_4746	transposase	AAN70317.1	24986501	Q877M4	Q877M4_PSEPK
G18UU-22259-MONOMER	PP_4745	PP_4745	transposase	AAN70316.1	24986500	Q877Q0	Q877Q0_PSEPK
G18UU-22258-MONOMER	PP_4743	PP_4743	conserved protein of unknown function	AAN70315.1	24986498	Q88DS6	Q88DS6_PSEPK
G18UU-22257-MONOMER	PP_5711	PP_5711	protein of unknown function	AMM03047.1	1001556029	A0A140FWR4	A0A140FWR4_PSEPK
G18UU-22256-MONOMER	PP_4742	hsdS	Type I restriction-modification system, S subunit	AAN70314.1	24986497	Q88DS7	Q88DS7_PSEPK
G18UU-22255-MONOMER	PP_4741	hsdM	Type I restriction enzyme EcoEI M protein	AAN70313.1	24986496	Q88DS8	Q88DS8_PSEPK
G18UU-22254-MONOMER	PP_4740	hsdR	Type I restriction enzyme EcoAI R protein	AAN70312.1	24986495	Q88DS9	Q88DS9_PSEPK
G18UU-22253-MONOMER	PP_5710	PP_5710	exported protein of unknown function	AMM03046.1	1001556028	A0A140FWR3	A0A140FWR3_PSEPK
G18UU-22252-MONOMER	PP_5709	PP_5709	protein of unknown function	AMM03045.1	1001556027	A0A140FWR2	A0A140FWR2_PSEPK
